19334,3,7,1772,2,,3,,3,,2,,3,,3,,2,,2,,1,,3,,2,,1,,1,,2,,2,,1,,
19334,4,5,8409,2,1,2,1,1,1,2,1,2,2,2,2,2,3,3,3,2,3,4,4,1,3,3,3,2,3,2,1,2,2,3,2,
19334,4,5,623,1,2,1,3,1,3,1,2,2,3,2,2,3,1,3,3,3,2,4,3,3,2,3,3,3,3,1,2,2,2,2,2,
19334,4,5,2290,2,,3,,3,,2,,3,,2,,1,,3,,2,,3,,2,,3,,3,,2,,2,,2,,
19334,4,5,6275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19334,5,2,8414,2,2,3,2,2,2,1,1,3,3,3,3,1,1,3,3,1,2,3,3,1,1,3,3,3,3,1,1,2,1,4,4,
19334,5,2,9190,2,3,2,3,2,2,1,1,3,3,3,3,1,2,3,3,2,2,3,3,1,1,3,3,3,3,1,2,1,1,4,3,
19334,5,2,4050,3,,3,,2,,1,,3,,3,,2,,3,,2,,3,,1,,3,,3,,2,,1,,3,,
19334,5,2,6152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19334,6,3,8409,2,1,2,2,1,1,1,1,3,2,2,3,2,1,2,3,2,2,4,4,1,1,3,3,3,3,1,3,1,1,3,2,
19334,6,3,485,1,3,2,3,1,1,1,,2,3,3,3,1,2,3,2,2,2,4,3,1,2,3,1,3,2,3,2,1,3,2,1,
19334,6,3,2668,3,,3,,1,,,,3,,3,,2,,2,,2,,3,,2,,1,,2,,2,,3,,1,,
19334,6,3,6893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19334,7,6,9281,1,3,2,3,2,1,1,1,3,3,2,3,2,1,3,1,1,1,4,3,1,1,4,3,3,1,3,2,3,2,1,2,
19334,7,6,4738,3,,3,,1,,1,,3,,3,,1,,1,,1,,3,,1,,3,,1,,2,,2,,2,,
19334,8,7,706,2,2,3,3,2,2,1,2,3,3,2,3,1,2,1,2,1,2,3,3,2,2,3,3,2,2,1,2,2,1,1,4,
19334,8,7,2293,2,,3,,2,,2,,3,,3,,2,,2,,2,,3,,2,,3,,2,,2,,1,,4,,
19334,8,7,5813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
